SampleID	CONTIG_COUNT	TOTAL_LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	T2T_SCAFFOLDS	TELOMERE_FWD	TELOMERE_REV	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
EXF_3569.AAFTF	195	18893965	501	1270344	8405	96892.13	18	323125	61	94095	60.53	1	16	16	90.7	90.6	0.1	1.2	8.1	1764
EXF_3592.AAFTF	161	20568843	522	971119	54489	127756.79	21	334658	62	114380	60.59	NA	8	22	95.3	91.6	3.7	1.1	3.6	1764
EXF_3595.AAFTF	166	19992120	520	1071421	38758	120434.46	20	323139	61	104247	60.56	NA	16	17	96.9	96.8	0.1	0.8	2.3	1764
EXF_3604.AAFTF	167	20075211	519	938786	35760	120210.84	19	372174	58	90121	60.56	NA	21	10	96.7	96.6	0.1	0.9	2.4	1764
EXF_3609.AAFTF	165	18441351	515	787630	27014	111765.76	18	385604	56	101483	60.57	NA	11	19	90.1	90.0	0.1	1.1	8.8	1764
EXF_3612.AAFTF	185	19488111	515	828508	10723	105341.14	20	337192	59	109745	60.55	NA	16	15	93.9	93.8	0.1	0.9	5.2	1764
EXF_3622.AAFTF	172	20049566	522	934408	39434	116567.24	20	319628	63	103740	60.56	1	17	15	95.9	95.7	0.2	0.8	3.3	1764
EXF_3626.AAFTF	142	19870280	543	973776	52304	139931.55	17	415783	51	110294	60.57	NA	21	11	95.4	95.4	0.0	1.0	3.6	1764
EXF_3629.AAFTF	183	19516076	506	935132	11032	106645.22	14	470782	49	92722	60.57	1	9	14	93.5	93.4	0.1	0.9	5.6	1764
EXF_3633.AAFTF	195	19794966	503	1197943	21159	101512.65	16	307619	63	79826	60.58	1	16	14	94.4	94.3	0.1	0.7	4.9	1764
EXF_3697.AAFTF	268	21785768	516	852023	7566	81290.18	22	319390	76	74594	67.53	NA	17	15	97.9	97.8	0.1	0.6	1.5	1764
EXF_3790.AAFTF	168	20038851	520	1080267	42203	119278.88	19	321483	64	93272	60.57	1	16	16	96.8	96.4	0.4	0.9	2.3	1764
EXF_3860.AAFTF	180	19990220	511	756662	50795	111056.78	26	298893	73	103567	60.57	NA	17	16	96.6	96.4	0.2	1.1	2.3	1764
EXF_3861.AAFTF	188	19989950	502	756659	50795	106329.52	23	308281	73	86375	60.57	NA	18	15	96.6	96.5	0.1	1.1	2.3	1764
EXF_3862.AAFTF	201	19934002	520	953721	40019	99174.14	23	301070	77	72214	60.57	NA	18	14	96.5	96.4	0.1	0.7	2.8	1764
EXF_4029.AAFTF	421	20912259	506	551019	11482	49672.82	45	141954	150	40376	66.99	NA	11	4	97.3	97.2	0.1	0.9	1.8	1764
EXF_4148.AAFTF	114	17567406	507	1102296	79809	154100.05	12	495405	48	98197	57.33	NA	NA	NA	87.0	86.8	0.2	2.8	10.2	1764
EXF_4236.AAFTF	381	20970737	502	588467	14810	55041.30	43	147998	139	44365	66.99	NA	7	8	97.6	97.4	0.2	0.9	1.5	1764
EXF_4884.AAFTF	381	20903295	505	801104	11255	54864.29	38	166799	125	48525	66.98	NA	11	12	97.8	97.7	0.1	0.8	1.4	1764
EXF_4885.AAFTF	162	20007053	522	1065585	66449	123500.33	21	307204	71	87139	60.58	NA	20	12	96.7	96.6	0.1	1.0	2.3	1764
EXF_4886.AAFTF	164	17522207	506	1320230	31579	106842.73	18	277042	57	89939	63.56	2	10	13	96.5	96.5	0.0	1.1	2.4	1764
EXF_5546.AAFTF	175	19906284	515	793930	21987	113750.19	19	382477	58	109782	60.57	NA	10	20	96.1	96.0	0.1	1.1	2.8	1764
EXF_5666.AAFTF	228	19738425	500	910959	28408	86572.04	26	219355	85	65535	60.02	NA	13	19	93.9	93.8	0.1	1.5	4.6	1764
EXF_5775.AAFTF	192	18852303	508	779330	29185	98189.08	25	257634	72	88253	60.55	NA	15	17	91.5	91.5	0.0	0.9	7.6	1764
EXF_5938.AAFTF	172	19434022	501	972669	39362	112988.50	22	300323	64	103681	60.59	1	10	21	94.3	94.1	0.2	1.0	4.7	1764
EXF_5939.AAFTF	192	20031758	515	934192	28747	104332.07	22	309578	67	88074	60.55	NA	15	18	96.2	96.1	0.1	1.1	2.7	1764
EXF_5940.AAFTF	213	19978079	515	965816	37322	93793.80	26	232776	82	72703	60.57	NA	13	17	96.4	96.3	0.1	1.0	2.6	1764
EXF_5941.AAFTF	182	19794601	515	828437	29671	108761.54	21	331194	64	102227	60.57	NA	16	15	95.5	95.4	0.1	1.2	3.3	1764
EXF_6243.AAFTF	207	19873872	508	826867	36546	96009.04	24	268592	77	80838	60.57	NA	17	15	96.1	96.1	0.0	0.9	3.0	1764
EXF_6252.AAFTF	209	19874645	503	826715	25238	95094.00	23	268580	74	78178	60.57	NA	10	22	96.1	96.0	0.1	0.9	3.0	1764
EXF_6325.AAFTF	189	19780047	515	977764	13516	104656.33	18	331822	59	101324	60.57	NA	17	14	95.7	95.6	0.1	1.0	3.3	1764
